0.000	6.818E-2	0.333
0.033	4.691E-2	0.334
0.067	1.910E-2	0.337
0.100	-9.003E-3	0.337
0.133	-3.535E-2	0.334
0.167	-6.019E-2	0.331
0.200	-8.540E-2	0.327
0.234	-0.104	0.323
0.267	-0.125	0.319
0.300	-0.134	0.313
0.334	-0.141	0.309
0.367	-0.145	0.307
0.400	-0.144	0.307
0.434	-0.140	0.310
0.467	-0.131	0.313
0.500	-0.118	0.318
0.534	-0.100	0.324
0.567	-7.880E-2	0.330
0.600	-5.155E-2	0.334
0.634	-2.743E-2	0.338
0.667	-2.914E-3	0.339
0.701	2.289E-2	0.338
0.734	4.932E-2	0.335
0.767	7.279E-2	0.333
0.801	9.618E-2	0.328
0.834	0.103	0.332
0.867	0.119	0.324
0.901	0.129	0.320
0.934	0.134	0.317
0.967	0.135	0.316
1.001	0.133	0.318
1.034	0.123	0.321
1.068	0.110	0.326
1.101	9.677E-2	0.329
1.134	8.791E-2	0.327
1.168	6.371E-2	0.333
1.201	3.827E-2	0.338
1.234	1.611E-2	0.337
1.268	-1.138E-2	0.338
1.301	-3.948E-2	0.335
1.334	-6.401E-2	0.331
1.368	-8.842E-2	0.328
1.401	-0.109	0.324
1.434	-0.124	0.319
1.468	-0.133	0.313
1.501	-0.141	0.309
1.535	-0.143	0.307
1.568	-0.143	0.307
1.601	-0.137	0.309
1.635	-0.129	0.313
1.668	-0.115	0.318
1.701	-9.871E-2	0.324
1.735	-7.610E-2	0.329
1.768	-5.459E-2	0.334
1.801	-2.931E-2	0.337
1.835	-4.537E-3	0.339
1.868	2.411E-2	0.337
1.902	4.320E-2	0.337
1.935	6.615E-2	0.335
1.968	8.831E-2	0.331
2.002	0.108	0.325
2.035	0.122	0.320
2.068	0.132	0.316
2.102	0.133	0.317
2.135	0.134	0.316
2.168	0.135	0.314
2.202	0.128	0.316
2.235	0.118	0.319
2.268	9.776E-2	0.327
2.302	8.597E-2	0.328
2.335	6.187E-2	0.334
2.369	3.821E-2	0.338
2.402	1.324E-2	0.339
2.435	-1.090E-2	0.337
2.469	-3.648E-2	0.335
2.502	-5.929E-2	0.331
2.535	-8.127E-2	0.327
2.569	-9.967E-2	0.322
2.602	-0.116	0.318
2.635	-0.133	0.316
2.669	-0.137	0.311
2.702	-0.141	0.310
2.735	-0.140	0.310
2.769	-0.134	0.312
2.802	-0.125	0.316
2.836	-0.111	0.320
2.869	-9.409E-2	0.325
2.902	-7.428E-2	0.330
2.936	-5.198E-2	0.335
2.969	-2.811E-2	0.338
3.002	-1.368E-3	0.338
3.036	2.908E-2	0.335
3.069	5.424E-2	0.331
3.102	7.115E-2	0.332
3.136	9.161E-2	0.329
3.169	0.109	0.324
3.203	0.121	0.320
3.236	0.132	0.315
3.269	0.132	0.317
3.303	0.132	0.317
3.336	0.129	0.318
3.369	0.130	0.315
3.403	0.119	0.319
3.436	0.122	0.303
3.469	8.182E-2	0.327
3.503	6.127E-2	0.331
3.536	3.977E-2	0.337
3.569	1.518E-2	0.338
3.603	-5.416E-3	0.336
3.636	-3.445E-2	0.336
3.670	-5.796E-2	0.332
3.703	-8.036E-2	0.329
3.736	-9.763E-2	0.325
3.770	-0.113	0.321
3.803	-0.126	0.318
3.836	-0.133	0.314
3.870	-0.134	0.312
3.903	-0.133	0.312
3.936	-0.127	0.314
3.970	-0.118	0.318
4.003	-0.104	0.322
4.037	-8.826E-2	0.327
4.070	-6.768E-2	0.331
4.103	-4.486E-2	0.334
4.137	-1.761E-2	0.336
4.170	5.239E-3	0.337
4.203	2.673E-2	0.338
4.237	4.875E-2	0.336
4.270	6.875E-2	0.335
4.303	9.162E-2	0.330
4.337	0.109	0.326
4.370	0.124	0.320
4.403	0.121	0.325
4.437	0.132	0.318
4.470	0.133	0.318
4.504	0.130	0.318
4.537	0.123	0.321
4.570	0.111	0.325
4.604	9.773E-2	0.328
4.637	7.855E-2	0.333
4.670	6.034E-2	0.336
4.704	3.690E-2	0.339
4.737	2.039E-2	0.336
4.770	-7.290E-3	0.337
4.804	-3.026E-2	0.335
4.837	-5.195E-2	0.331
4.871	-7.887E-2	0.330
4.904	-9.501E-2	0.326
4.937	-0.109	0.322
4.971	-0.119	0.318
5.004	-0.125	0.315
5.037	-0.128	0.313
5.071	-0.127	0.314
5.104	-0.122	0.316
5.137	-0.113	0.319
5.171	-0.101	0.324
5.204	-8.539E-2	0.328
5.237	-6.549E-2	0.332
5.271	-4.409E-2	0.336
5.304	-2.079E-2	0.338
5.338	2.288E-3	0.339
5.371	3.349E-2	0.334
5.404	5.198E-2	0.334
5.438	6.924E-2	0.335
5.471	8.349E-2	0.335
5.504	9.811E-2	0.333
5.538	0.110	0.329
5.571	0.118	0.326
5.604	0.122	0.325
5.638	0.122	0.324
5.671	0.119	0.325
5.705	0.112	0.328
5.738	0.112	0.323
5.771	8.929E-2	0.333
5.805	8.062E-2	0.331
5.838	5.909E-2	0.334
5.871	3.684E-2	0.337
5.905	1.405E-2	0.338
5.938	-8.570E-3	0.336
5.971	-3.433E-2	0.335
6.005	-6.090E-2	0.335
6.038	-7.840E-2	0.330
6.071	-9.454E-2	0.326
6.105	-0.108	0.322
6.138	-0.119	0.319
6.172	-0.124	0.316
6.205	-0.127	0.315
6.238	-0.125	0.315
6.272	-0.120	0.317
6.305	-0.111	0.320
6.338	-9.859E-2	0.324
6.372	-8.272E-2	0.329
6.405	-6.479E-2	0.334
6.438	-4.237E-2	0.336
6.472	-1.909E-2	0.338
6.505	4.228E-3	0.338
6.538	2.913E-2	0.337
